Time:  ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank 
2016/02/18:19:18:06 0273771833 0 2870 2700 98796
2016/02/18:20:46:47 0273771833 0 2870 2700 98934
2016/02/18:21:48:51 0273771833 0 2870 2700 107332
2016/02/18:22:46:30 0273771833 0 2870 2700 107475
2016/02/19:07:54:46 0273771833 0 2870 2700 125693
2016/02/19:09:40:42 0273771833 0 2870 2700 133689
2016/02/19:11:32:17 0273771833 0 2870 2700 132575
2016/02/19:13:09:26 0273771833 0 2870 2700 132575
2016/02/19:15:06:23 0273771833 0 2870 2700 132808
2016/02/19:16:56:09 0273771833 0 2870 2700 133693
2016/02/19:17:28:38 0273771833 0 2870 2700 133693
2016/02/19:17:45:06 0273771833 0 2870 2700 136765
2016/02/19:19:34:33 0273771833 0 2870 2700 136764
2016/02/19:20:31:40 0273771833 0 2870 2700 132735
2016/02/19:22:17:11 0273771833 0 2870 2700 140105
2016/02/20:02:05:47 0273771833 0 2870 2700 142742
2016/02/20:06:13:22 0273771833 0 2870 2700 148915
2016/02/20:09:22:01 0273771833 0 2870 2700 149457
2016/02/20:10:39:24 0273771833 0 2870 2700 149787
2016/02/20:11:18:43 0273771833 0 2870 2700 147445
2016/02/20:12:11:49 0273771833 0 2870 2700 147555
2016/02/20:13:09:50 0273771833 0 2870 2700 147555
2016/02/20:14:31:21 0273771833 0 2870 2700 145751
2016/02/20:15:42:21 0273771833 0 2870 2700 146153
2016/02/20:16:56:41 0273771833 0 2870 1999 146181
2016/02/20:18:51:38 0273771833 0 2870 1999 148501
2016/02/20:19:43:13 0273771833 0 2870 1999 148501
2016/02/20:21:24:11 0273771833 0 2870 1999 157080
2016/02/20:21:47:46 0273771833 0 2870 1999 157080
2016/02/21:02:28:46 0273771833 0 2870 1999 165621
2016/02/21:09:49:20 0273771833 0 2870 1999 166401
2016/02/21:10:56:34 0273771833 0 2870 1999 166401
2016/02/21:11:47:33 0273771833 0 2870 1999 166401
2016/02/21:14:17:33 0273771833 0 2870 1999 158644
2016/02/21:15:03:04 0273771833 0 2870 1999 155556
2016/02/21:17:24:41 0273771833 0 2870 1999 157023
