Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price:  Sales-Rank 
2016/02/10:15:16:38 052187341X 4899 4536 6387 531120
2016/02/10:17:03:35 052187341X 4899 4536 6387 537590
2016/02/10:18:28:22 052187341X 4899 4536 6387 537690
2016/02/10:22:27:13 052187341X 4899 4536 6388 547458
2016/02/11:07:45:19 052187341X 4899 4536 6386 573408
2016/02/11:09:35:33 052187341X 4899 4536 6386 582918
2016/02/11:10:02:12 052187341X 4899 4536 6386 582918
2016/02/11:11:52:47 052187341X 4899 4536 6386 584842
2016/02/11:12:02:11 052187341X 4899 4536 6386 584842
2016/02/11:12:08:56 052187341X 4899 4536 6386 584842
2016/02/11:12:53:39 052187341X 4899 4536 6386 587592
2016/02/11:14:06:52 052187341X 4899 4536 6386 587592
2016/02/11:15:26:09 052187341X 4899 4536 6386 590735
2016/02/11:17:12:10 052187341X 4899 4536 6386 594788
2016/02/11:19:00:32 052187341X 4899 4536 6386 594875
2016/02/11:22:05:40 052187341X 4899 4536 6386 603411
2016/02/12:07:32:38 052187341X 4899 4536 6386 623676
2016/02/12:09:21:54 052187341X 4899 4536 6386 629884
2016/02/13:12:44:35 052187341X 4899 4536 6386 666973
2016/02/13:13:27:57 052187341X 4899 4536 6386 668061
2016/02/13:13:36:07 052187341X 4899 4536 6386 668061
2016/02/13:15:21:40 052187341X 4899 4536 6386 670007
2016/02/18:17:19:17 052187341X 4899 4536 6385 813437
2016/02/18:18:05:27 052187341X 4899 4536 6385 813541
2016/02/18:19:13:15 052187341X 4899 4536 6385 814566
2016/02/18:20:41:56 052187341X 4899 4536 6385 814704
2016/02/18:21:44:01 052187341X 4899 4536 6385 818722
2016/02/18:22:41:39 052187341X 4899 4536 6385 818864
2016/02/19:07:49:55 052187341X 4899 4536 6385 830568
2016/02/19:09:35:51 052187341X 4899 4536 6385 831492
2016/02/19:11:27:12 052187341X 4899 4536 6385 834859
2016/02/19:13:04:35 052187341X 4899 4536 6385 834859
2016/02/19:15:01:30 052187341X 4899 4536 6385 835969
2016/02/19:16:51:18 052187341X 4899 4536 6385 837356
2016/02/19:17:23:48 052187341X 4899 4536 6385 839909
2016/02/19:17:40:14 052187341X 4899 4536 6385 839909
2016/02/19:19:29:41 052187341X 4899 4536 6385 839908
2016/02/19:20:26:45 052187341X 4899 4536 6385 840387
2016/02/19:22:12:20 052187341X 4899 4536 6385 844382
2016/02/20:02:00:56 052187341X 4899 4536 6385 847335
2016/02/20:06:08:30 052187341X 4899 4536 6385 854748
2016/02/20:09:17:10 052187341X 4899 4536 6385 858564
2016/02/20:10:34:33 052187341X 4899 4536 6385 858895
2016/02/20:11:13:51 052187341X 4899 4536 6385 859706
2016/02/20:12:06:58 052187341X 4899 4536 6385 859816
2016/02/20:13:04:59 052187341X 4899 4536 6385 859816
2016/02/20:14:26:29 052187341X 4899 4536 6385 860494
2016/02/20:15:37:30 052187341X 4899 4536 6385 861650
