Time: ISBN: Retail-Price: Lowest-Used-Price: Lowest-New-Price: Sales-Rank 
2016/02/10:15:19:26 1137327537 2159 1701 2015 72412
2016/02/10:17:06:23 1137327537 2159 1701 2015 73321
2016/02/10:18:31:11 1137327537 2159 1701 2015 73400
2016/02/10:22:30:03 1137327537 2159 1701 2015 85552
2016/02/11:07:48:07 1137327537 2159 1701 2015 44074
2016/02/11:09:38:26 1137327537 2159 1701 2015 65197
2016/02/11:10:05:01 1137327537 2159 1701 2015 65197
2016/02/11:11:55:40 1137327537 2159 1701 2015 62963
2016/02/11:12:05:01 1137327537 2159 1701 2015 62963
2016/02/11:12:11:45 1137327537 2159 1701 2015 62963
2016/02/11:12:56:28 1137327537 2159 1701 2015 63394
2016/02/11:14:09:41 1137327537 2159 1701 2015 63394
2016/02/11:15:28:58 1137327537 2159 1701 2015 63899
2016/02/11:17:14:58 1137327537 2159 1701 2015 69579
2016/02/11:19:03:21 1137327537 2159 1700 2015 69666
2016/02/11:22:08:32 1137327537 2159 1700 2015 83636
2016/02/12:07:35:27 1137327537 2159 1680 2015 120188
2016/02/13:12:47:37 1137327537 2159 1743 2015 44761
2016/02/13:13:31:00 1137327537 2159 1743 2015 44728
2016/02/13:13:39:16 1137327537 2159 1743 2015 44728
2016/02/13:15:24:43 1137327537 2159 1743 2015 48606
2016/02/18:17:22:19 1137327537 2159 1788 2015 54741
2016/02/18:18:08:28 1137327537 2159 1788 2015 54843
2016/02/18:19:16:17 1137327537 2159 1788 2015 56881
2016/02/18:20:44:58 1137327537 2159 1788 2015 57019
2016/02/18:21:47:03 1137327537 2159 1788 2015 72945
2016/02/18:22:44:41 1137327537 2159 1788 2015 73088
2016/02/19:07:52:57 1137327537 2159 1788 2015 107648
2016/02/19:09:38:53 1137327537 2159 1788 2015 108571
2016/02/19:11:30:14 1137327537 2159 1788 2015 113215
2016/02/19:13:07:36 1137327537 2159 1788 2015 112655
2016/02/19:15:04:34 1137327537 2159 1788 2015 112655
2016/02/19:16:54:20 1137327537 2159 1788 2015 114036
2016/02/19:17:26:49 1137327537 2159 1788 2015 114036
2016/02/19:17:43:16 1137327537 2159 1788 2015 118801
2016/02/19:19:32:43 1137327537 2159 1788 2015 116082
2016/02/19:20:29:51 1137327537 2159 1788 2015 116082
2016/02/19:22:15:22 1137327537 2159 1788 2015 125603
2016/02/20:02:03:59 1137327537 2159 1788 2015 130555
2016/02/20:06:11:33 1137327537 2159 1788 2015 32043
2016/02/20:09:20:12 1137327537 2159 1787 2015 42811
2016/02/20:10:37:35 1137327537 2159 1787 2015 42881
2016/02/20:11:16:53 1137327537 2159 1787 2015 45241
2016/02/20:12:10:00 1137327537 2159 1787 2015 45241
2016/02/20:13:08:01 1137327537 2159 1767 2015 45257
2016/02/20:14:29:32 1137327537 2159 1767 2015 47008
2016/02/20:15:40:32 1137327537 2159 1767 2015 51098
2016/02/20:16:54:52 1137327537 2159 1767 2015 51126
2016/02/20:18:49:49 1137327537 2159 1786 2015 59476
2016/02/20:19:41:24 1137327537 2159 1786 2015 60025
2016/02/20:21:22:22 1137327537 2159 1786 2015 60025
2016/02/20:21:45:57 1137327537 2159 1786 2015 74480
2016/02/21:02:26:57 1137327537 2159 1766 2015 94753
2016/02/21:09:47:31 1137327537 2159 1766 2015 118877
2016/02/21:10:54:45 1137327537 2159 1787 2015 118877
2016/02/21:11:45:44 1137327537 2159 1786 2015 119410
2016/02/21:14:15:44 1137327537 2159 1786 2015 119332
2016/02/21:15:01:15 1137327537 2159 1786 2015 119560
2016/02/21:17:22:52 1137327537 2159 1766 2015 124225
2016/02/21:17:46:54 1137327537 2159 1766 2015 124225
2016/02/21:18:17:22 1137327537 2159 1766 2015 124271
2016/02/21:20:17:03 1137327537 2159 1766 2015 122616
2016/02/21:22:04:36 1137327537 2159 1786 2015 132204
2016/02/21:22:28:54 1137327537 2159 1786 2015 132204
2016/02/21:23:39:37 1137327537 2159 1786 2015 130094
2016/02/22:07:51:17 1137327537 2159 1786 2015 159912
2016/02/22:09:54:48 1137327537 2159 1766 2015 158426
2016/02/22:11:05:54 1137327537 2159 1766 2015 161932
2016/02/22:12:03:39 1137327537 2159 1766 2015 161932
2016/02/22:15:24:09 1137327537 2159 1766 2015 161194
2016/02/22:16:46:51 1137327537 2159 1787 2015 162184
2016/02/23:09:34:59 1137327537 2159 1766 2015 206611
2016/02/23:11:01:17 1137327537 2159 1766 2015 213906
2016/02/23:12:04:12 1137327537 2159 1786 2015 213277
2016/02/23:13:54:43 1137327537 2159 1786 2015 213277
2016/02/23:15:10:15 1137327537 2159 1786 2015 213416
2016/02/23:16:09:01 1137327537 2159 1786 2015 213415
2016/02/23:17:29:39 1137327537 2159 1766 2015 216199
2016/02/24:09:18:44 1137327537 2159 1786 2015 243274
2016/02/24:11:21:25 1137327537 2159 1766 2015 241601
2016/02/24:13:11:40 1137327537 2159 1766 2015 241755
2016/02/24:14:16:00 1137327537 2159 1766 2015 239445
2016/02/24:16:51:22 1137327537 2159 1746 2015 239659
2016/02/24:19:44:16 1137327537 2159 1746 2015 246785
2016/02/24:21:12:43 1137327537 2159 1746 2015 254920
2016/02/24:22:45:44 1137327537 2159 1746 2015 254919
2016/02/24:23:08:34 1137327537 2159 1746 2015 254919
2016/02/25:08:09:10 1137327537 2159 1746 2015 271556
2016/02/25:09:02:40 1137327537 2159 1746 2015 272084
2016/02/25:10:12:44 1137327537 2159 1787 2015 270965
2016/02/25:11:37:52 1137327537 2159 1786 2015 269731
2016/02/25:15:22:44 1137327537 2159 1786 2015 266749
2016/02/25:16:55:08 1137327537 2159 1786 2015 268723
2016/02/25:19:04:58 1137327537 2159 1766 2015 265648
2016/02/25:21:37:29 1137327537 2159 1754 2015 271210
2016/02/25:22:34:36 1137327537 2159 1733 2015 271210
2016/02/26:07:33:59 1137327537 2159 1733 2015 287824
2016/02/26:08:50:51 1137327537 2159 1733 2015 288443
2016/02/26:09:53:20 1137327537 2159 1787 2015 287669
2016/02/26:10:54:34 1137327537 2159 1786 2015 287969
2016/02/26:13:23:04 1137327537 2159 1786 2015 287017
2016/02/26:15:31:36 1137327537 2159 1786 2015 287827
2016/02/26:19:55:46 1137327537 2159 1754 2015 287183
2016/02/26:22:51:14 1137327537 2159 1733 2015 292227
2016/02/26:23:53:46 1137327537 2159 1733 2015 292226
2016/02/27:08:11:31 1137327537 2159 1733 2015 295876
2016/02/27:09:42:37 1137327537 2159 1733 2015 296663
2016/02/27:10:43:05 1137327537 2159 1733 2015 297036
2016/02/27:12:22:14 1137327537 2159 1733 2015 295507
2016/02/27:14:27:36 1137327537 2159 1786 2015 294708
2016/02/27:16:34:34 1137327537 2159 1786 2015 293786
2016/02/27:17:09:53 1137327537 2159 1786 2015 293813
2016/02/27:17:51:37 1137327537 2159 1754 2015 293813
2016/02/27:19:45:43 1137327537 2159 1754 2015 295120
2016/02/27:23:58:25 1137327537 2159 1754 2015 297992
2016/02/28:00:30:08 1137327537 2159 1733 2015 297992
2016/02/28:03:44:33 1137327537 2159 1733 2015 41714
2016/02/28:10:29:08 1137327537 2159 1733 2015 72846
2016/02/28:11:17:00 1137327537 2159 1733 2015 73223
2016/02/28:13:20:00 1137327537 2159 1786 2015 75331
2016/02/28:17:24:25 1137327537 2159 1766 2015 86617
2016/02/28:19:36:13 1137327537 2159 1754 2015 96017
2016/02/28:20:51:06 1137327537 2159 1754 2015 96213
2016/02/28:22:22:37 1137327537 2159 1733 2015 109100
2016/02/28:23:02:28 1137327537 2159 1733 2015 109304
2016/02/29:09:28:31 1137327537 2159 1733 2015 149313
2016/02/29:10:36:33 1137327537 2159 1733 2015 149500
