Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank 
2016/02/10:15:19:27 1137481595 2112 1812 1712 37773
2016/02/10:17:06:24 1137481595 2112 1812 1712 45139
2016/02/10:18:31:12 1137481595 2112 1812 1712 45171
2016/02/10:22:30:04 1137481595 2112 1812 1712 23080
2016/02/11:07:48:08 1137481595 2112 1812 1712 45821
2016/02/11:09:38:27 1137481595 2112 1812 1712 66698
2016/02/11:10:05:03 1137481595 2112 1812 1712 66698
2016/02/11:11:55:42 1137481595 2112 1812 1712 63325
2016/02/11:12:05:02 1137481595 2112 1812 1712 63325
2016/02/11:12:11:45 1137481595 2112 1812 1712 63325
2016/02/11:12:56:29 1137481595 2112 1812 1712 62726
2016/02/11:14:09:42 1137481595 2112 1812 1712 62726
2016/02/11:15:28:58 1137481595 2112 1812 1712 62404
2016/02/11:17:15:00 1137481595 2112 1812 1712 67550
2016/02/11:19:03:22 1137481595 2112 1812 1712 67637
2016/02/11:22:08:33 1137481595 2112 1812 1712 81176
2016/02/12:07:35:28 1137481595 2112 1812 1712 116525
2016/02/13:12:47:38 1137481595 2091 1791 1712 69940
2016/02/13:13:31:01 1137481595 2091 1791 1691 69338
2016/02/13:13:39:17 1137481595 2091 1791 1691 69338
2016/02/13:15:24:44 1137481595 2091 1791 1691 71908
2016/02/18:17:22:20 1137481595 2091 1800 1600 193203
2016/02/18:18:08:30 1137481595 2091 1800 1600 193306
2016/02/18:19:16:18 1137481595 2091 1800 1600 192057
2016/02/18:20:45:00 1137481595 2091 1800 1600 192195
2016/02/18:21:47:04 1137481595 2091 1800 1600 199823
2016/02/18:22:44:42 1137481595 2091 1800 1600 199966
2016/02/19:07:52:58 1137481595 2091 1800 1600 215270
2016/02/19:09:38:54 1137481595 2091 1800 1600 216193
2016/02/19:11:30:15 1137481595 2156 1800 1600 220675
2016/02/19:13:07:38 1137481595 2156 1800 1600 221341
2016/02/19:15:04:35 1137481595 2156 1800 1600 221341
2016/02/19:16:54:21 1137481595 2156 1800 1500 223398
2016/02/19:17:26:50 1137481595 2156 1800 1500 223398
2016/02/19:17:43:17 1137481595 2156 1855 1400 227994
2016/02/19:19:32:44 1137481595 2156 1855 1400 227175
2016/02/19:20:29:52 1137481595 2156 1855 1400 227175
2016/02/19:22:15:23 1137481595 2156 1855 1400 234861
2016/02/20:02:03:59 1137481595 2156 1855 1300 238641
2016/02/20:06:11:34 1137481595 2156 1855 1200 246235
2016/02/20:09:20:13 1137481595 2156 1855 1100 247706
2016/02/20:10:37:36 1137481595 2156 1855 1000 248036
2016/02/20:11:16:55 1137481595 2156 1855 1000 246292
2016/02/20:12:10:01 1137481595 2156 1855 1000 246292
