Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank
2016/03/05:12:21:28 1491903996 2252 1876 2039 5707
2016/03/05:12:41:41 1491903996 2252 1876 2039 5707
2016/03/05:12:57:29 1491903996 2252 1876 2039 5849
2016/03/05:17:43:20 1491903996 2252 1876 2037 7011
2016/03/05:19:32:47 1491903996 2252 1876 2037 7011
2016/03/05:20:21:48 1491903996 2252 1876 2037 4575
2016/03/05:21:52:22 1491903996 2252 1876 2036 5928
2016/03/05:23:13:12 1491903996 2252 1876 2035 5928
2016/03/06:03:53:31 1491903996 2252 1876 2035 5960
2016/03/06:08:40:12 1491903996 2231 1876 2034 7484
2016/03/06:09:44:02 1491903996 2231 1876 2034 7954
2016/03/06:10:36:30 1491903996 2231 1876 2033 7954
2016/03/06:11:31:44 1491903996 2231 1876 2033 7851
2016/03/06:14:32:34 1491903996 2231 1876 2031 8115
2016/03/06:14:47:35 1491903996 2231 1876 2031 8116
2016/03/06:15:55:11 1491903996 2231 1876 2030 8501
2016/03/06:16:38:19 1491903996 2231 1876 2030 8501
2016/03/06:17:52:44 1491903996 2231 1876 2029 9834
2016/03/06:20:50:01 1491903996 2231 1876 2028 9431
2016/03/06:22:35:10 1491903996 2231 1876 2028 11752
2016/03/06:22:59:01 1491903996 2231 1876 2027 11752
2016/03/06:23:10:43 1491903996 2231 1876 2027 11752
2016/03/07:07:39:59 1491903996 2231 1876 2020 7491
2016/03/07:09:30:40 1491903996 2189 1876 2019 7484
2016/03/07:10:54:47 1491903996 2189 1876 2018 7443
2016/03/07:11:33:14 1491903996 2189 1876 2018 7443
2016/03/07:12:37:26 1491903996 2189 1876 2018 7964
2016/03/07:14:03:18 1491903996 2189 1876 2018 8479
2016/03/07:15:32:32 1491903996 2189 1876 2486 8479
2016/03/07:16:22:08 1491903996 2189 1876 2486 6630
2016/03/07:16:59:35 1491903996 2189 1876 2486 6630
2016/03/07:19:12:07 1491903996 2189 1876 2486 6685
2016/03/07:22:43:57 1491903996 2189 1876 2485 10725
2016/03/07:23:51:02 1491903996 2189 1876 2485 10725
2016/03/08:07:45:17 1491903996 2189 1876 2482 9039
2016/03/08:09:07:56 1491903996 2189 1876 2481 8966
2016/03/08:11:58:20 1491903996 2168 1876 2481 9585
2016/03/08:13:15:28 1491903996 2168 1876 2481 9585
2016/03/08:14:42:58 1491903996 2168 1876 2480 10045
2016/03/08:17:18:13 1491903996 2168 1876 2479 11522
2016/03/08:19:45:25 1491903996 2168 1876 2478 12130
2016/03/09:07:49:41 1491903996 2168 1876 2473 10273
2016/03/09:10:00:03 1491903996 2168 1876 2471 10217
2016/03/09:10:55:42 1491903996 2168 1876 2470 10936
2016/03/09:15:05:26 1491903996 2308 1876 2468 12295
2016/03/09:15:56:28 1491903996 2308 1876 2467 12295
2016/03/09:18:44:37 1491903996 2308 1876 2467 8696
2016/03/09:21:19:16 1491903996 2308 1876 2466 8101
2016/03/09:22:35:40 1491903996 2308 1876 2465 8101
2016/03/09:22:47:36 1491903996 2308 1876 2465 8153
2016/03/09:23:27:38 1491903996 2308 1876 2465 8153
2016/03/09:23:48:51 1491903996 2308 1876 2465 8153
2016/03/10:05:06:32 1491903996 2308 1876 2463 5944
2016/03/10:07:53:34 1491903996 2308 1876 2463 6023
2016/03/10:09:40:53 1491903996 2308 1875 2462 6963
2016/03/10:11:10:24 1491903996 2308 1874 2462 7082
2016/03/10:12:00:45 1491903996 2308 1874 2461 7082
2016/03/10:12:28:30 1491903996 2308 1873 2461 7082
2016/03/10:14:06:57 1491903996 2308 1872 2460 7148
2016/03/10:15:32:52 1491903996 2308 1872 2460 5440
2016/03/10:16:42:04 1491903996 2308 1872 2459 6382
2016/03/10:19:19:27 1491903996 2308 1870 2458 5687
2016/03/10:20:22:53 1491903996 2308 1870 2458 5688
2016/03/10:22:57:56 1491903996 2308 1871 1776 4397
2016/03/11:07:50:45 1491903996 2308 1868 1776 8033
2016/03/11:09:52:16 1491903996 2308 1867 1776 8995
2016/03/11:13:43:56 1491903996 2308 1867 1776 8992
2016/03/11:16:08:48 1491903996 2308 1868 1776 9705
2016/03/11:16:50:47 1491903996 2308 1868 1776 9705
2016/03/11:17:31:32 1491903996 2308 1868 1776 11283
2016/03/11:19:38:02 1491903996 2308 1868 1776 11284
2016/03/11:22:50:16 1491903996 2308 1868 1776 13355
2016/03/12:12:14:11 1491903996 2308 1868 1776 9815
2016/03/12:13:49:45 1491903996 2308 1868 1776 9900
2016/03/12:18:56:52 1491903996 2308 1868 1776 12571
2016/03/13:09:31:15 1491903996 2308 1867 1768 12612
2016/03/13:11:16:00 1491903996 2308 1867 1768 7932
2016/03/13:16:23:44 1491903996 2308 1868 1768 8559
2016/03/13:18:17:40 1491903996 2308 1867 1768 11242
2016/03/13:19:48:01 1491903996 2308 1867 1768 11242
2016/03/13:22:46:27 1491903996 2308 1867 1768 5287
2016/03/14:07:50:27 1491903996 2308 1868 1768 5254
2016/03/14:09:01:35 1491903996 2308 1868 1768 5456
2016/03/14:10:16:10 1491903996 2308 1868 1768 5456
2016/03/15:14:52:24 1491903996 2308 1868 1768 6367
2016/03/15:17:35:29 1491903996 2308 1868 1768 6053
2016/03/15:18:53:26 1491903996 2308 1868 1768 6053
2016/03/15:20:17:31 1491903996 2308 1868 1768 6089
2016/03/15:20:51:58 1491903996 2308 1868 1768 6089
2016/03/15:22:47:17 1491903996 2308 1868 1768 5345
2016/03/16:00:38:16 1491903996 2308 1868 1768 5345
2016/03/16:08:15:57 1491903996 2308 1868 1768 2581
2016/03/16:21:42:35 1491903996 2308 1868 1768 3067
2016/03/16:23:33:35 1491903996 2308 1868 1768 3067
2016/03/17:07:35:32 1491903996 2308 1868 1768 5077
2016/03/17:09:02:09 1491903996 2308 1868 1768 5077
2016/03/17:13:51:39 1491903996 2308 1868 1768 4682
2016/03/17:14:41:53 1491903996 2308 1868 1768 4746
2016/03/17:16:07:35 1491903996 2308 1868 1768 4746
2016/03/17:17:26:02 1491903996 2308 1868 1768 5220
2016/03/17:18:28:19 1491903996 2308 1868 1768 4748
2016/03/17:22:32:09 1491903996 2308 1867 1768 5885
2016/03/18:07:46:53 1491903996 2308 1867 1768 8022
2016/03/18:08:58:57 1491903996 2308 1867 1768 7767
2016/03/18:13:50:40 1491903996 2308 1867 1768 8069
2016/03/19:00:43:16 1491903996 2308 1867 1768 6474
2016/03/19:10:47:10 1491903996 2308 1867 1768 6663
2016/03/19:13:13:53 1491903996 2308 1867 1768 6653
2016/03/19:21:07:19 1491903996 2308 1867 1869 10832
2016/03/19:23:45:04 1491903996 2308 1868 2337 12560
2016/03/20:08:17:17 1491903996 2308 1868 2331 15620
2016/03/20:09:57:55 1491903996 2308 1868 2331 15620
2016/03/20:12:18:54 1491903996 2308 1868 2331 14556
2016/03/20:13:48:17 1491903996 2308 1868 2331 13933
2016/03/20:14:45:39 1491903996 2308 1868 2331 13933
2016/03/20:18:08:43 1491903996 2308 1868 2331 15248
2016/03/20:20:07:51 1491903996 2308 1868 2331 9887
2016/03/20:21:56:21 1491903996 2308 1868 2331 9887
2016/03/21:08:17:57 1491903996 2308 1867 2331 6469
2016/03/21:09:27:50 1491903996 2308 1868 2331 6469
2016/03/21:10:18:43 1491903996 2308 1868 2331 6549
2016/03/21:18:03:50 1491903996 2308 1867 2331 7881
2016/03/21:19:23:53 1491903996 2308 1867 2331 7881
2016/03/21:23:10:49 1491903996 2308 1867 2331 10129
2016/03/22:10:16:57 1491903996 2308 1867 2330 11063
2016/03/22:11:07:45 1491903996 2308 1867 2329 11064
2016/03/23:08:05:17 1491903996 2308 1867 2320 6223
2016/03/23:09:32:22 1491903996 2308 1867 2320 7201
2016/03/23:13:16:41 1491903996 2308 1867 2318 7293
2016/03/23:17:56:53 1491903996 2308 1867 2318 5825
2016/03/23:19:07:37 1491903996 2308 1867 2318 6979
2016/03/23:20:16:24 1491903996 2308 1867 2317 6979
2016/03/23:21:29:03 1491903996 2308 1867 2316 6979
2016/03/23:22:17:44 1491903996 2308 1867 2316 6211
2016/03/23:23:14:34 1491903996 2308 1867 2316 5712
2016/03/24:08:01:48 1491903996 2308 1876 2312 9700
2016/03/24:10:10:07 1491903996 2308 1876 2310 9450
2016/03/24:11:14:43 1491903996 2308 1876 2309 9555
2016/03/24:12:25:12 1491903996 2308 1876 2309 9556
2016/03/24:14:09:44 1491903996 2308 1876 2308 9498
2016/03/24:15:19:58 1491903996 2308 1876 2308 7169
2016/03/24:17:04:42 1491903996 2308 1876 2308 7169
2016/03/24:21:00:59 1491903996 2308 1876 2308 6453
2016/03/24:23:04:57 1491903996 2308 1876 2308 6831
2016/03/25:07:55:56 1491903996 2308 1876 2305 6837
2016/03/25:21:58:30 1491903996 2308 1876 2301 3716
2016/03/26:10:14:23 1491903996 2308 1876 2297 4850
2016/03/26:13:31:50 1491903996 2308 1876 2297 4965
2016/03/26:18:08:41 1491903996 2308 1876 2297 6154
2016/03/26:20:39:03 1491903996 2308 1876 2297 7236
2016/03/28:18:42:27 1491903996 2308 1876 2297 5079
2016/03/28:20:32:26 1491903996 2308 1876 2297 4478
2016/03/28:21:36:16 1491903996 2308 1876 2297 5790
2016/03/29:06:47:07 1491903996 2308 1873 2297 10743
2016/03/29:15:20:00 1491903996 2308 1869 2294 10916
2016/03/29:16:35:41 1491903996 2308 1869 2294 11004
2016/03/29:19:30:40 1491903996 2308 1867 2292 12797
2016/03/29:21:52:57 1491903996 2308 1868 2292 8998
2016/03/30:09:22:20 1491903996 2308 1867 2287 5510
2016/03/30:13:35:59 1491903996 2308 1867 2286 5965
2016/03/30:16:00:52 1491903996 2308 1867 2284 6270
2016/03/30:21:10:28 1491903996 2308 1867 2282 5700
2016/03/31:07:08:32 1491903996 2308 1868 2276 3759
2016/03/31:08:54:05 1491903996 2308 1868 2274 4887
2016/03/31:09:42:05 1491903996 2308 1868 2274 4887
2016/03/31:12:42:31 1491903996 2308 1868 2274 5228
2016/03/31:13:48:42 1491903996 2308 1868 2274 4317
2016/03/31:16:33:12 1491903996 2308 1868 2272 3927
2016/03/31:21:19:56 1491903996 2308 1868 2270 4446
2016/04/01:07:29:32 1491903996 2308 1868 2265 6562
2016/04/01:09:29:47 1491903996 2308 1868 2264 6664
2016/04/01:16:32:51 1491903996 2308 1868 2260 8719
2016/04/01:17:39:46 1491903996 2308 1868 2260 8719
2016/04/01:18:38:36 1491903996 2308 1868 2260 10111
2016/04/01:19:36:45 1491903996 2308 1868 2260 10111
2016/04/01:21:28:52 1491903996 2308 1867 2260 11523
2016/04/01:22:39:25 1491903996 2308 1867 2260 11523
2016/04/02:08:15:45 1491903996 2308 1868 2254 16466
2016/04/02:09:27:36 1491903996 2308 1868 2254 16467
2016/04/02:20:07:36 1491903996 2308 1868 2250 11602
2016/04/02:22:35:50 1491903996 2308 1868 2250 13425
2016/04/03:09:58:30 1491903996 2308 1868 2246 5664
2016/04/04:19:53:45 1491903996 2308 1867 2236 12583
2016/04/05:07:05:01 1491903996 2308 1867 2229 16146
2016/04/05:15:14:59 1491903996 2308 1868 2225 17517
2016/04/05:21:46:04 1491903996 2308 1868 2221 11565
2016/04/06:07:02:47 1491903996 2308 1868 2220 5158
2016/04/06:22:59:21 1491903996 2308 1868 2217 10625
2016/04/07:07:22:21 1491903996 2308 1867 2217 4161
2016/04/07:17:28:58 1491903996 2308 1867 2217 4595
2016/04/07:18:45:05 1491903996 2308 1867 2217 5708
2016/04/08:10:29:46 1491903996 2308 1868 2217 4729
2016/04/09:08:00:53 1491903996 2308 1868 2217 7760
2016/04/10:07:06:48 1491903996 2308 1867 2217 6313
2016/04/10:08:39:06 1491903996 2308 1867 2217 6538
2016/04/10:10:15:45 1491903996 2308 1867 2217 6538
2016/04/10:10:49:59 1491903996 2308 1867 2217 6652
2016/04/10:11:27:32 1491903996 2308 1867 2217 6652
2016/04/10:16:16:54 1491903996 2308 1867 2217 8149
2016/04/10:21:46:10 1491903996 2308 1868 2217 11560
2016/04/11:01:03:36 1491903996 2308 1868 2217 9536
2016/04/11:06:51:16 1491903996 2308 1867 2217 9926
2016/04/11:13:04:19 1491903996 2308 1868 2217 11108
2016/04/12:07:13:31 1491903996 2308 1868 2217 12383
2016/04/12:08:15:03 1491903996 2308 1868 2217 12383
2016/04/12:21:42:22 1491903996 2308 1867 2217 5399
2016/04/13:08:20:42 1491903996 2308 1868 2217 8583
2016/04/13:11:34:56 1491903996 2308 1867 2217 8548
2016/04/13:15:14:33 1491903996 2308 1868 2214 10191
2016/04/14:06:53:07 1491903996 2308 1868 2209 6893
2016/04/14:08:42:30 1491903996 2308 1867 2209 7091
2016/04/14:09:34:53 1491903996 2308 1867 2209 7091
2016/04/15:12:04:22 1491903996 2308 1867 2208 7339
2016/04/17:19:15:27 1491903996 2308 1868 2191 4300
2016/04/17:21:58:40 1491903996 2308 1867 2189 4024
2016/04/18:08:09:56 1491903996 2308 1867 2185 4795
2016/04/18:09:32:55 1491903996 2308 1867 2185 4795
2016/12/22:12:20:00 1491903996 2702 1844 1858 21756
2016/12/24:17:58:13 1491903996 2308 1857 1872 8450
2016/12/25:11:30:28 1491903996 2308 1854 1869 10414
2016/12/25:20:59:42 1491903996 2308 1852 1867 16923
2016/12/26:15:10:09 1491903996 2308 1848 1863 14108
2016/12/26:16:53:01 1491903996 2308 1848 1863 17054
2016/12/26:18:52:35 1491903996 2308 1847 1863 18086
2016/12/27:00:23:05 1491903996 2308 1846 1860 14808
2016/12/27:01:22:43 1491903996 2308 1845 1860 17041
2016/12/27:02:22:30 1491903996 2308 1845 1860 17041
2016/12/27:03:22:47 1491903996 2308 1845 1860 17571
2016/12/27:04:22:50 1491903996 2308 1845 1860 18173
2016/12/27:05:22:45 1491903996 2308 1845 1860 18173
2016/12/27:09:22:51 1491903996 2308 1843 1859 17192
2016/12/27:10:22:58 1491903996 2308 1842 1857 17516
2016/12/27:11:22:47 1491903996 2308 1842 1856 17516
2016/12/27:12:22:54 1491903996 2308 1842 1856 18084
2016/12/27:13:22:48 1491903996 2308 1842 1856 10180
2016/12/27:14:23:10 1491903996 2308 1842 1856 10180
2016/12/27:18:22:40 1491903996 2308 1840 1855 14436
2016/12/27:22:22:56 1491903996 2308 1840 1855 12682
2016/12/27:23:22:46 1491903996 2308 1840 1855 12682
2016/12/28:01:22:50 1491903996 2308 1839 1854 13831
2016/12/28:02:22:45 1491903996 2308 1839 1854 16206
2016/12/28:04:22:57 1491903996 2308 1839 1854 9935
2016/12/28:05:22:38 1491903996 2308 1839 1854 9935
2016/12/28:06:22:53 1491903996 2308 1839 1854 10174
2016/12/28:08:23:02 1491903996 2308 1839 1854 10454
2016/12/28:10:22:48 1491903996 2308 1838 1853 11161
2016/12/28:12:22:53 1491903996 2308 1838 1853 11917
2016/12/28:22:22:39 1491903996 2308 1858 1852 11135
2016/12/29:00:22:41 1491903996 2308 1858 1852 12226
2016/12/29:01:22:38 1491903996 2308 1858 1852 9407
2016/12/29:04:22:54 1491903996 2308 1857 1872 9989
2016/12/29:16:22:54 1491903996 2308 1855 1870 19069
2016/12/29:22:22:44 1491903996 2308 1854 1868 10971
2016/12/29:23:22:51 1491903996 2308 1853 1868 10971
2016/12/30:00:22:40 1491903996 2308 1853 1868 11934
2016/12/30:01:22:45 1491903996 2308 1853 1868 11934
2016/12/30:02:22:47 1491903996 2308 1853 1868 13828
2016/12/30:05:22:35 1491903996 2308 1852 1866 14936
2016/12/30:06:22:40 1491903996 2308 1852 1866 14847
2016/12/30:08:23:02 1491903996 2308 1851 1866 14855
2016/12/30:10:22:56 1491903996 2308 1851 1866 14767
2016/12/30:11:22:38 1491903996 2308 1851 1866 15184
2016/12/30:12:22:45 1491903996 2308 1851 1866 15822
2016/12/30:14:23:13 1491903996 2308 1849 1865 18911
2016/12/30:19:22:58 1491903996 2308 1848 1862 13765
2016/12/30:23:22:39 1491903996 2308 1847 1861 17422
2016/12/31:00:22:43 1491903996 2308 1846 1860 11040
2016/12/31:01:22:40 1491903996 2308 1846 1860 12814
2016/12/31:02:22:49 1491903996 2308 1846 1860 12814
2016/12/31:03:22:36 1491903996 2308 1846 1858 13443
2016/12/31:04:22:40 1491903996 2308 1846 1858 14061
2016/12/31:05:22:38 1491903996 2308 1845 1858 14061
2016/12/31:06:22:43 1491903996 2308 1845 1858 14133
2016/12/31:07:22:51 1491903996 2308 1844 1858 14217
2016/12/31:11:22:36 1491903996 2308 1844 1858 14581
2016/12/31:12:22:45 1491903996 2308 1843 1857 15137
