Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank 
2016/02/10:15:18:04 158391112X 2599 2205 2713 120329
2016/02/10:17:05:00 158391112X 2599 2205 2273 122632
2016/02/10:18:29:48 158391112X 2599 2205 2273 122734
2016/02/10:22:28:39 158391112X 2599 2205 2273 132967
2016/02/11:07:46:44 158391112X 2599 2205 2273 159798
2016/02/11:09:37:02 158391112X 2599 2205 2273 174561
2016/02/11:10:03:39 158391112X 2599 2205 2273 174561
2016/02/11:11:54:13 158391112X 2599 2205 2273 172793
2016/02/11:12:03:38 158391112X 2599 2205 2273 172793
2016/02/11:12:10:22 158391112X 2599 2205 2273 172793
2016/02/11:12:55:05 158391112X 2599 2205 2273 172548
2016/02/11:14:08:18 158391112X 2599 2205 2272 172548
2016/02/11:15:27:35 158391112X 2599 2205 2272 172794
2016/02/11:17:13:36 158391112X 2599 2205 2272 176096
2016/02/11:19:01:58 158391112X 2599 2205 2272 176182
2016/02/11:22:07:06 158391112X 2599 2205 2272 185117
2016/02/12:07:34:04 158391112X 2599 2205 2272 210581
2016/02/12:09:23:20 158391112X 2599 2205 2272 220284
2016/02/13:12:46:05 158391112X 2599 2205 2203 240693
2016/02/13:13:29:27 158391112X 2599 2205 2203 238213
2016/02/13:13:37:44 158391112X 2599 2205 2203 238213
2016/02/13:15:23:10 158391112X 2599 2205 2201 237954
2016/02/18:17:20:47 158391112X 2599 2204 2046 23217
2016/02/18:18:06:57 158391112X 2599 2204 2046 23217
2016/02/18:19:14:46 158391112X 2599 2204 2046 23220
2016/02/18:20:43:27 158391112X 2599 2204 2046 24809
2016/02/18:21:45:31 158391112X 2599 2204 2046 35533
2016/02/18:22:43:09 158391112X 2599 2204 2046 35534
2016/02/19:07:51:25 158391112X 2599 2204 2046 72320
2016/02/19:09:37:21 158391112X 2599 2204 2046 81430
2016/02/19:11:28:43 158391112X 2599 2203 2046 79936
2016/02/19:13:06:05 158391112X 2599 2203 2046 79936
2016/02/19:15:03:00 158391112X 2599 2203 2046 80507
2016/02/19:16:52:49 158391112X 2599 2203 2203 82984
2016/02/19:17:25:18 158391112X 2599 2203 2203 82984
2016/02/19:17:41:45 158391112X 2599 2203 2203 89316
2016/02/19:19:31:12 158391112X 2599 2203 2203 87274
2016/02/19:20:28:16 158391112X 2599 2203 2203 87274
2016/02/19:22:13:50 158391112X 2599 2203 2203 98648
2016/02/20:02:02:27 158391112X 2599 2203 2203 104769
2016/02/20:06:10:01 158391112X 2599 2203 2203 123496
2016/02/20:09:18:40 158391112X 2599 2203 2203 132900
2016/02/20:10:36:04 158391112X 2599 2203 2204 133230
2016/02/20:11:15:22 158391112X 2599 2203 2204 134575
2016/02/20:12:08:28 158391112X 2599 2203 2204 134575
2016/02/20:13:06:29 158391112X 2599 2203 2204 134685
2016/02/20:14:28:00 158391112X 2599 2203 2204 135507
2016/02/20:15:39:00 158391112X 2599 2203 2204 137954
2016/02/20:16:53:20 158391112X 2599 2203 2204 137982
2016/02/20:18:48:17 158391112X 2599 2203 2204 143401
2016/02/20:19:39:52 158391112X 2599 2203 2204 142930
2016/02/20:21:20:51 158391112X 2599 2203 2204 142930
2016/02/20:21:44:26 158391112X 2599 2203 2204 152487
2016/02/21:02:25:25 158391112X 2599 2203 2204 164777
2016/02/21:09:46:00 158391112X 2599 2203 2204 177001
2016/02/21:10:53:13 158391112X 2599 2203 2204 177001
2016/02/21:11:44:13 158391112X 2599 2203 2204 175976
2016/02/21:14:14:13 158391112X 2599 2203 2204 174773
2016/02/21:14:59:44 158391112X 2599 2203 2204 174773
2016/02/21:17:21:20 158391112X 2599 2203 2204 177742
2016/02/21:17:45:23 158391112X 2599 2203 2204 177742
2016/02/21:18:15:50 158391112X 2599 2203 2204 177742
2016/02/21:20:15:31 158391112X 2599 2203 2204 176357
2016/02/21:22:03:05 158391112X 2599 2203 2204 184242
2016/02/21:22:27:22 158391112X 2599 2203 2204 184242
2016/02/21:23:38:05 158391112X 2599 2203 2204 182642
2016/02/22:07:49:46 158391112X 2599 2203 2204 210167
2016/02/22:09:53:16 158391112X 2599 2166 2204 209957
2016/02/22:11:04:23 158391112X 2599 2166 2204 214070
2016/02/22:12:02:05 158391112X 2599 2166 2204 214070
2016/02/22:15:22:38 158391112X 2599 2166 2204 216670
2016/02/22:16:45:19 158391112X 2599 2166 2095 216719
2016/02/23:09:33:27 158391112X 2599 2166 2094 44752
2016/02/23:10:59:46 158391112X 2599 2166 2094 55781
2016/02/23:12:02:40 158391112X 2599 2166 2094 54434
2016/02/23:13:53:12 158391112X 2599 2166 2094 54688
2016/02/23:15:08:44 158391112X 2599 2166 2094 56592
2016/02/23:16:07:29 158391112X 2599 2166 2094 56592
2016/02/23:17:28:08 158391112X 2599 2166 2094 63311
2016/02/24:09:17:11 158391112X 2599 2166 2094 126814
2016/02/24:11:15:36 158391112X 2599 2166 2094 130002
2016/02/24:11:19:53 158391112X 2599 2166 2094 130002
2016/02/24:13:10:09 158391112X 2599 2166 2094 128452
2016/02/24:14:14:29 158391112X 2599 2166 2094 128452
2016/02/24:16:49:50 158391112X 2599 2166 2094 128666
2016/02/24:19:42:45 158391112X 2599 2166 2094 131531
2016/02/24:21:11:12 158391112X 2599 2166 2094 45729
2016/02/24:22:44:12 158391112X 2599 2166 2094 45729
2016/02/24:23:07:03 158391112X 2599 2166 2094 45729
2016/02/25:08:07:39 158391112X 2812 2166 2094 85402
2016/02/25:09:01:08 158391112X 2812 2166 2094 85890
2016/02/25:10:11:12 158391112X 2812 2166 2094 87320
2016/02/25:11:36:21 158391112X 2812 2166 2094 89072
2016/02/25:15:21:12 158391112X 2812 2166 2094 91839
2016/02/25:16:53:36 158391112X 2812 2166 2094 91839
2016/02/25:19:03:26 158391112X 2812 2166 2094 96207
2016/02/25:21:35:58 158391112X 2812 2166 2094 108211
2016/02/25:22:33:05 158391112X 2812 2166 2094 108211
2016/02/26:07:32:28 158391112X 2812 2166 2094 132444
2016/02/26:08:49:20 158391112X 2812 2166 2094 144001
2016/02/26:09:51:49 158391112X 2812 2166 2094 144236
2016/02/26:10:53:03 158391112X 2812 2166 2094 144537
2016/02/26:13:21:32 158391112X 2812 2166 2094 148576
2016/02/26:15:30:04 158391112X 2812 2166 2094 153883
2016/02/26:19:54:14 158391112X 2812 2166 2094 161249
2016/02/26:22:49:42 158391112X 2812 2166 2094 172238
2016/02/26:23:52:15 158391112X 2812 2166 2094 172238
2016/02/27:08:10:00 158391112X 2812 2166 2094 190577
2016/02/27:09:41:06 158391112X 2812 2166 2094 192458
2016/02/27:10:41:33 158391112X 2812 2166 2094 192831
2016/02/27:12:20:43 158391112X 2812 2166 2094 191148
2016/02/27:14:26:04 158391112X 2812 2166 2094 189877
2016/02/27:16:33:02 158391112X 2812 2166 2094 188683
2016/02/27:17:08:21 158391112X 2812 2166 2094 188711
2016/02/27:17:50:06 158391112X 2812 2166 2094 190882
2016/02/27:19:44:12 158391112X 2812 2166 1895 190916
2016/02/27:23:56:53 158391112X 2812 2166 1895 200226
2016/02/28:00:28:36 158391112X 2812 2166 1895 200226
2016/02/28:03:43:02 158391112X 2812 2166 1895 210949
2016/02/28:10:27:35 158391112X 2812 2166 1895 219783
2016/02/28:11:15:27 158391112X 2812 2166 1895 220193
2016/02/28:13:18:28 158391112X 2812 2166 1895 219781
2016/02/28:17:22:53 158391112X 2812 2166 1895 31361
2016/02/28:19:34:41 158391112X 2812 2166 1895 44464
2016/02/28:20:49:35 158391112X 2812 2166 1895 44480
2016/02/28:22:21:05 158391112X 2812 2166 1895 61728
2016/02/28:23:00:57 158391112X 2812 2166 1895 61928
2016/02/29:09:26:59 158391112X 2812 2166 1895 113074
2016/02/29:10:35:00 158391112X 2812 2166 1895 113327
2016/02/29:11:56:48 158391112X 2812 2166 1895 113388
2016/02/29:12:25:51 158391112X 2812 2166 1895 117105
2016/02/29:12:45:09 158391112X 2812 2166 1895 117105
2016/02/29:13:48:52 158391112X 2812 2166 1895 117200
2016/02/29:15:25:11 158391112X 2812 2166 1895 121571
2016/02/29:15:46:36 158391112X 2812 2166 1895 121571
2016/02/29:16:21:11 158391112X 2812 2166 1895 121571
2016/03/01:02:15:03 158391112X 2812 2166 1895 157264
2016/03/01:09:31:23 158391112X 2812 2166 1895 175617
2016/03/01:11:55:48 158391112X 2812 2166 1895 177432
2016/03/01:14:53:03 158391112X 2812 2166 1895 176714
2016/03/01:15:18:33 158391112X 2812 2166 1894 176948
2016/03/01:18:42:00 158391112X 2812 2166 1894 184189
2016/03/01:20:02:36 158391112X 2812 2166 1894 184253
2016/03/01:21:01:29 158391112X 2812 2166 1894 195090
2016/03/01:21:53:34 158391112X 2812 2166 1894 194505
2016/03/01:23:09:09 158391112X 2812 2166 1894 194727
2016/03/01:23:24:39 158391112X 2812 2166 1894 194727
2016/03/02:07:25:22 158391112X 2812 2166 1894 223668
2016/03/02:09:39:53 158391112X 2812 2166 1894 223865
